file_name,index,fake_or_true,feeling
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1.txt,1,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\10.txt,10,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\100.txt,100,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1000.txt,1000,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1001.txt,1001,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1002.txt,1002,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1003.txt,1003,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1004.txt,1004,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1005.txt,1005,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1006.txt,1006,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1007.txt,1007,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1008.txt,1008,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1009.txt,1009,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\101.txt,101,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1010.txt,1010,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1011.txt,1011,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1012.txt,1012,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1013.txt,1013,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1014.txt,1014,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1015.txt,1015,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1016.txt,1016,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1017.txt,1017,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1018.txt,1018,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1019.txt,1019,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\102.txt,102,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1020.txt,1020,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1021.txt,1021,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1022.txt,1022,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1023.txt,1023,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1024.txt,1024,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1025.txt,1025,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1026.txt,1026,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1027.txt,1027,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1028.txt,1028,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1029.txt,1029,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\103.txt,103,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1030.txt,1030,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1031.txt,1031,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1032.txt,1032,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1033.txt,1033,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1034.txt,1034,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1035.txt,1035,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1036.txt,1036,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1037.txt,1037,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1038.txt,1038,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1039.txt,1039,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\104.txt,104,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1040.txt,1040,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1041.txt,1041,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1042.txt,1042,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1043.txt,1043,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1044.txt,1044,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1045.txt,1045,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1046.txt,1046,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1047.txt,1047,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1048.txt,1048,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1049.txt,1049,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\105.txt,105,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1050.txt,1050,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1051.txt,1051,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1052.txt,1052,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1053.txt,1053,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1054.txt,1054,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1055.txt,1055,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1056.txt,1056,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1057.txt,1057,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1058.txt,1058,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1059.txt,1059,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\106.txt,106,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1060.txt,1060,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1061.txt,1061,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1062.txt,1062,Fake,1
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1063.txt,1063,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1064.txt,1064,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1065.txt,1065,Fake,0
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\.\db\fake\1066.txt,1066,Fake,0
