file_name;index;fake_or_true;feeling;nr_links;nr_locations;verbos;substantivos;adverbios;pronomes;artigos;adjetivo;numerais;preposicoes;conjuncoes;pontuacao;interjeicoes;verbos_modais;n_palvaras;prop_palavras_erradas;n_camel_case;n_upper_case;n_pronome_1;n_pronome_1_plural;n_pronome_2;n_characteres;avg_sentence;avg_word_length
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1,txt;1;Fake;-1;0;3;27;52;15;11;29;6;0;27;8;28;1;1;182;0,006211180124223602;16;6;1;0;3;1047;14,0;4,478021978021978
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\10,txt;10;Fake;-1;0;6;43;80;20;15;23;12;2;32;19;30;0;0;251;0,013100436681222707;13;0;1;0;4;1518;23,0;4,800796812749004
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\100,txt;100;Fake;-1;0;14;42;115;8;13;36;9;0;45;9;25;0;2;273;0,008733624454148471;29;5;0;0;5;1671;17,0625;4,923076923076923
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1000,txt;1000;Fake;-1;0;21;75;197;16;17;79;40;2;94;31;69;0;1;570;0,009487666034155597;26;16;1;2;0;3768;27,285714285714285;5,47719298245614
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1001,txt;1001;Fake;-1;0;5;22;33;7;9;14;6;0;15;4;20;0;1;110;0,034782608695652174;5;3;1;0;3;666;29,75;4,681818181818182
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1002,txt;1002;Fake;-1;0;6;15;40;5;2;10;2;1;11;3;11;0;0;90;0,07462686567164178;12;3;0;0;1;619;13,285714285714286;5,666666666666667
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1003,txt;1003;Fake;-1;0;4;15;37;7;1;10;5;1;13;3;14;0;0;95;0,02702702702702703;10;1;0;1;0;620;13,714285714285714;5,315789473684211
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1004,txt;1004;Fake;-1;0;17;26;72;14;8;24;20;2;22;11;37;0;2;206;0,03529411764705882;22;7;0;0;0;1324;26,0;5,213592233009709
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1005,txt;1005;Fake;-1;0;1;10;28;5;3;16;3;0;6;2;30;0;1;76;0,05555555555555555;7;3;0;0;0;449;16,4;4,25
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1006,txt;1006;Fake;-1;0;11;28;65;5;4;25;13;3;30;9;20;0;2;183;0,02976190476190476;14;4;0;0;0;1065;23,125;4,655737704918033
E:\Documentos Local\GitHub\tcc\Microsservices\MainProgram\,\db\fake\1007,txt;1007;Fake;-1;0;16;26;92;8;2;25;9;25;45;11;51;0;0;247;0,03286384976525822;22;3;0;0;0;1489;27,88888888888889;4,7408906882591095
