index,nr_links,verbos,substantivos,adverbios,pronomes,artigos,adjetivo,numerais,preposicoes,conjuncoes,interjeicoes,verbos_modais,n_palvaras,prop_palavras_erradas,n_camel_case,n_upper_case,n_pronome_1,n_pronome_1_plural,n_pronome_2,n_characteres,avg_sentence,avg_word_length
1,0,27,51,15,11,29,6,0,27,8,1,1,182,0.01098901098901099,16,6,1,0,3,1047,14.0,4.478021978021978
10,0,43,80,20,15,23,12,2,32,19,0,0,251,0.09486166007905138,13,0,1,0,4,1518,23.0,4.800796812749004
100,0,42,115,8,13,36,9,0,45,9,0,2,273,0.10256410256410256,29,5,0,0,5,1671,17.0625,4.923076923076923
1000,0,75,197,16,17,79,40,2,94,31,0,1,570,0.06315789473684211,26,16,1,2,0,3768,27.285714285714285,5.47719298245614
1001,0,22,33,7,9,14,6,0,15,4,0,1,110,0.045454545454545456,5,3,1,0,3,666,29.75,4.681818181818182
1002,0,15,40,5,2,10,2,1,11,3,0,0,90,0.10869565217391304,12,3,0,0,1,619,13.285714285714286,5.666666666666667
1003,0,15,37,7,1,10,5,1,13,3,0,0,95,0.05263157894736842,10,1,0,1,0,620,13.714285714285714,5.315789473684211
1004,0,26,72,14,8,24,20,2,22,11,0,2,206,0.09223300970873786,22,7,0,0,0,1324,26.0,5.213592233009709
1005,0,10,28,5,3,16,3,0,6,2,0,1,76,0.06578947368421052,7,3,0,0,0,449,16.4,4.25
1006,0,28,65,5,4,25,13,3,30,9,0,2,183,0.0546448087431694,14,4,0,0,0,1065,23.125,4.655737704918033
1007,0,26,92,8,2,25,9,25,45,11,0,0,247,0.08064516129032258,22,3,0,0,0,1489,27.88888888888889,4.7408906882591095
1008,0,28,54,3,8,14,6,3,19,5,0,0,149,0.040268456375838924,7,3,1,1,0,970,31.2,5.181208053691275
1009,0,27,55,15,15,24,5,2,23,14,1,1,178,0.028089887640449437,10,5,5,0,3,978,26.142857142857142,4.202247191011236
101,0,22,71,2,2,17,8,1,23,8,0,0,149,0.16778523489932887,18,9,0,0,0,999,24.833333333333332,5.449664429530201
1010,0,18,31,1,3,11,7,1,14,6,0,0,95,0.05263157894736842,7,1,0,0,1,614,16.166666666666668,5.168421052631579
1011,0,141,162,58,55,85,43,15,68,43,0,4,709,0.031029619181946404,8,8,10,3,17,4312,14.795918367346939,4.760225669957687
1012,0,27,57,13,11,20,9,1,21,9,0,2,175,0.056818181818181816,13,4,0,0,2,1079,30.333333333333332,4.7942857142857145
1013,0,16,36,10,3,13,6,0,13,2,0,1,103,0.05825242718446602,12,3,0,0,0,622,15.0,4.679611650485437
1014,0,71,127,51,21,60,34,1,69,28,0,3,475,0.042105263157894736,8,3,1,2,3,2971,36.92307692307692,5.012631578947368
1015,0,26,63,15,6,19,6,10,15,8,0,0,181,0.055248618784530384,23,11,0,1,0,1091,26.285714285714285,4.657458563535911
1016,0,31,75,11,9,29,13,8,29,9,0,2,219,0.0410958904109589,17,5,0,0,0,1319,20.272727272727273,4.744292237442922
1017,0,15,30,3,8,13,1,0,9,4,0,0,84,0.03571428571428571,10,3,3,0,2,510,14.333333333333334,4.7023809523809526
1018,0,22,41,6,11,11,6,3,18,4,0,0,126,0.05555555555555555,8,3,2,0,2,714,18.285714285714285,4.412698412698413
1019,0,23,60,11,6,23,9,1,21,7,0,0,168,0.047619047619047616,12,3,0,0,1,1036,19.11111111111111,4.910714285714286
102,0,44,100,5,9,27,12,17,64,13,0,1,310,0.06129032258064516,20,5,0,0,2,1799,19.375,4.603225806451613
1020,0,39,46,12,13,31,14,1,15,8,1,1,183,0.02185792349726776,10,7,2,0,3,1119,14.461538461538462,4.830601092896175
1021,0,48,119,13,9,45,23,20,49,13,0,2,362,0.04696132596685083,27,11,0,0,2,2222,19.36842105263158,4.914364640883978
1022,0,21,47,7,4,22,4,0,21,4,0,0,142,0.07042253521126761,15,6,0,0,1,918,20.428571428571427,5.26056338028169
1023,0,19,77,13,5,20,9,5,31,11,0,0,198,0.050505050505050504,22,3,0,2,0,1161,20.3,4.6767676767676765
1024,0,13,43,2,1,11,7,1,12,4,0,0,96,0.10416666666666667,10,5,0,0,0,640,16.166666666666668,5.427083333333333
1025,0,12,27,5,1,8,2,0,6,3,0,1,69,0.08695652173913043,6,3,0,0,0,408,10.428571428571429,4.550724637681159
1026,0,31,90,13,9,26,8,4,37,10,0,1,237,0.04219409282700422,16,8,0,0,1,1502,13.333333333333334,5.143459915611814
1027,0,9,45,4,2,13,2,4,17,1,0,0,98,0.061224489795918366,8,0,0,0,0,605,12.375,4.948979591836735
1028,0,19,49,3,1,22,7,0,13,5,0,3,122,0.02459016393442623,18,7,0,0,1,689,17.571428571428573,4.401639344262295
1029,0,13,30,5,5,11,4,2,9,4,0,2,87,0.022988505747126436,7,2,0,0,1,543,15.0,4.931034482758621
103,0,26,56,7,5,16,2,4,28,8,0,0,160,0.062111801242236024,18,2,0,0,0,933,20.125,4.7125
1030,0,18,22,4,2,9,9,2,9,7,0,0,87,0.06896551724137931,6,1,0,0,0,526,22.25,4.724137931034483
1031,0,11,40,3,2,8,6,2,6,3,0,1,84,0.047619047619047616,8,0,0,0,1,518,12.0,4.904761904761905
1032,0,22,47,8,1,22,2,1,19,6,0,3,126,0.10317460317460317,17,8,0,0,1,769,21.166666666666668,4.825396825396825
1033,0,27,27,4,8,23,4,1,18,4,1,1,118,0.025423728813559324,4,1,2,0,1,727,20.5,4.796610169491525
1034,0,32,57,14,5,27,17,1,20,9,0,0,191,0.02617801047120419,6,5,0,0,0,1204,17.545454545454547,5.0732984293193715
1035,0,25,53,9,9,24,14,1,20,6,0,2,165,0.07272727272727272,16,4,0,1,0,1085,29.333333333333332,5.115151515151515
1036,0,12,42,7,0,14,6,0,9,4,0,0,96,0.0625,12,4,0,0,0,628,14.142857142857142,5.229166666666667
1037,0,40,81,14,8,36,29,2,33,17,0,1,267,0.04868913857677903,19,10,0,1,2,1668,22.333333333333332,5.033707865168539
1038,0,13,32,7,1,12,4,1,17,2,0,0,92,0.043478260869565216,8,1,0,0,0,574,15.833333333333334,4.913043478260869
1039,0,19,46,8,3,15,7,0,17,4,1,0,117,0.07692307692307693,4,4,1,0,1,771,15.375,5.230769230769231
104,0,92,146,37,52,69,32,7,97,23,0,3,559,0.03756708407871199,21,15,0,2,20,3207,13.30952380952381,4.588550983899821
1040,0,13,31,6,0,9,5,3,17,2,0,0,93,0.0967741935483871,9,7,0,0,0,578,9.5,5.0
1041,0,14,34,4,11,16,2,1,15,2,1,1,101,0.019801980198019802,8,1,4,0,0,561,14.571428571428571,4.326732673267327
1042,0,13,25,1,3,9,2,1,14,3,0,0,75,0.02666666666666667,6,4,0,0,0,441,12.666666666666666,4.56
1043,0,33,81,7,8,28,6,4,29,8,0,0,214,0.08411214953271028,20,3,0,0,3,1335,24.22222222222222,4.985981308411215
1044,0,13,19,6,1,9,5,1,9,0,0,0,63,0.07936507936507936,3,1,0,0,0,374,9.285714285714286,4.634920634920635
